customer_id,last_purchase,frequency,monetary,recency_days,r_score,f_score,m_score,rfm_code,rfm_segment
C00062,2025-09-07,1,79370.87999999999,116,2,1,2,212,Обычные
C00063,2025-09-05,1,58740.22,118,2,1,1,211,Обычные
C00064,2025-12-14,5,113986.61,18,4,4,2,442,Лояльные
C00065,2025-12-16,4,368184.43,16,5,4,4,544,Чемпионы
C00067,2025-11-16,4,579541.53,46,4,4,5,445,Чемпионы
C00068,2025-08-13,4,557764.1699999999,141,2,4,5,245,Крупные покупатели
C00069,2025-11-14,4,192947.85,48,3,4,3,343,Лояльные
C00070,2025-06-07,1,72397.04000000001,208,1,1,2,112,Обычные
C00071,2025-09-11,11,652427.73,112,2,5,5,255,Крупные покупатели
C00072,2025-07-02,1,39508.06,183,2,1,1,211,Обычные
C00073,2025-07-09,7,581184.49,176,2,5,5,255,Крупные покупатели
C00074,2025-11-15,7,269851.98,47,4,5,4,454,Чемпионы
C00077,2025-12-28,6,445726.79,4,5,5,4,554,Чемпионы
C00078,2025-10-19,5,541724.04,74,3,4,5,345,Лояльные
C00080,2025-09-14,1,33493.32,109,2,1,1,211,Обычные
C00081,2025-10-17,5,719614.26,76,3,4,5,345,Лояльные
C00082,2025-11-05,1,51633.81,57,3,1,1,311,Обычные
C00083,2025-07-15,1,134179.12,170,2,1,2,212,Обычные
C00084,2025-04-19,2,320584.72,257,1,2,4,124,Крупные покупатели
C00085,2025-09-13,5,877845.11,110,2,4,5,245,Крупные покупатели
C00087,2025-09-10,3,295199.32,113,2,3,4,234,Крупные покупатели
C00088,2025-03-15,1,386260.33,292,1,1,4,114,Обычные
C00089,2025-12-19,1,56269.39,13,5,1,1,511,Новые/перспективные
C00090,2025-12-02,1,7365.63,30,4,1,1,411,Новые/перспективные
C00091,2025-03-09,1,483.37,298,1,1,1,111,Обычные
C00092,2025-08-25,5,849233.76,129,2,4,5,245,Крупные покупатели
C00093,2025-12-23,4,208732.95,9,5,4,3,543,Лояльные
C00094,2025-10-20,1,20872.15,73,3,1,1,311,Обычные
C00095,2025-08-07,2,0.0,147,2,2,1,221,Обычные
C00096,2025-07-22,5,620797.32,163,2,4,5,245,Крупные покупатели
C00097,2025-11-30,9,1043408.86,32,4,5,5,455,Чемпионы
C00098,2025-12-29,5,834367.38,3,5,4,5,545,Чемпионы
C00099,2025-01-19,1,9522.23,347,1,1,1,111,Обычные
C00100,2025-12-07,2,192183.96000000002,25,4,2,3,423,Новые/перспективные
C00101,2025-03-26,1,41807.23,281,1,1,1,111,Обычные
C00102,2025-12-27,5,489192.44,5,5,4,5,545,Чемпионы
C00105,2025-12-07,13,926882.8,25,4,5,5,455,Чемпионы
C00106,2025-12-18,4,428037.56,14,5,4,4,544,Чемпионы
C00107,2025-11-24,3,115566.99,38,4,3,2,432,Обычные
C00110,2025-07-02,1,113263.45,183,2,1,2,212,Обычные
C00111,2025-12-25,2,55583.91,7,5,2,1,521,Новые/перспективные
C00114,2025-12-08,2,204466.02000000002,24,4,2,3,423,Новые/перспективные
C00115,2025-07-18,2,201921.28999999998,167,2,2,3,223,Обычные
C00116,2025-08-18,3,133673.0,136,2,3,2,232,Под риском ухода
C00117,2025-12-27,7,479154.85,5,5,5,5,555,Чемпионы
C00118,2025-10-05,8,443625.8,88,3,5,4,354,Лояльные
C00119,2025-09-11,3,386532.69,112,2,3,4,234,Крупные покупатели
C00120,2025-12-04,4,445665.27,28,4,4,4,444,Чемпионы
C00121,2025-07-24,2,259067.2,161,2,2,4,224,Крупные покупатели
C00124,2025-07-05,2,144864.17,180,2,2,3,223,Обычные
C00125,2025-12-27,1,36143.85,5,5,1,1,511,Новые/перспективные
C00127,2025-12-21,3,215660.44,11,5,3,3,533,Обычные
C00129,2025-02-15,1,77311.91,320,1,1,2,112,Обычные
C00130,2025-12-23,3,423919.56,9,5,3,4,534,Крупные покупатели
C00131,2025-05-22,2,3765.22,224,1,2,1,121,Обычные
C00132,2025-08-02,2,187735.61,152,2,2,3,223,Обычные
C00133,2025-08-12,1,45866.38,142,2,1,1,211,Обычные
C00134,2025-12-23,12,1561830.29,9,5,5,5,555,Чемпионы
C00137,2025-11-01,9,808704.6900000001,61,3,5,5,355,Лояльные
C00138,2025-08-26,2,213787.59999999998,128,2,2,3,223,Обычные
C00139,2025-12-13,2,126560.15000000001,19,4,2,2,422,Новые/перспективные
C00141,2025-10-24,4,508499.7,69,3,4,5,345,Лояльные
C00142,2025-07-26,1,41100.53,159,2,1,1,211,Обычные
C00143,2025-11-05,3,143904.56,57,3,3,3,333,Обычные
C00144,2025-11-30,8,308833.32,32,4,5,4,454,Чемпионы
C00145,2025-06-04,2,699262.37,211,1,2,5,125,Крупные покупатели
C00146,2025-12-16,5,223781.96,16,5,4,3,543,Лояльные
C00147,2025-11-26,4,152344.7,36,4,4,3,443,Лояльные
C00149,2025-12-22,4,258904.03,10,5,4,4,544,Чемпионы
C00150,2025-05-08,1,97392.36,238,1,1,2,112,Обычные
C00151,2025-10-24,2,225511.83000000002,69,3,2,3,323,Обычные
C00152,2025-11-01,4,334648.53,61,3,4,4,344,Лояльные
C00153,2025-12-31,5,284671.64999999997,1,5,4,4,544,Чемпионы
C00154,2025-09-18,3,200635.51,105,2,3,3,233,Под риском ухода
C00156,2025-10-24,5,684200.56,69,3,4,5,345,Лояльные
C00157,2025-07-09,4,124403.67000000001,176,2,4,2,242,Под риском ухода
C00158,2025-11-19,1,85177.01000000001,43,4,1,2,412,Новые/перспективные
C00159,2025-10-19,2,130688.87,74,3,2,2,322,Обычные
C00160,2025-09-25,3,172350.94999999998,98,2,3,3,233,Под риском ухода
C00161,2025-11-15,1,200694.37,47,3,1,3,313,Обычные
C00162,2025-09-08,1,85209.13,115,2,1,2,212,Обычные
C00163,2025-12-17,4,558812.88,15,5,4,5,545,Чемпионы
C00164,2025-08-11,1,594.33,143,2,1,1,211,Обычные
C00165,2025-10-23,1,115733.39,70,3,1,2,312,Обычные
C00166,2025-11-11,4,125586.44,51,3,4,2,342,Лояльные
C00168,2025-08-05,2,48945.520000000004,149,2,2,1,221,Обычные
C00169,2025-12-28,1,5685.06,4,5,1,1,511,Новые/перспективные
C00170,2025-10-03,2,136513.09,90,3,2,2,322,Обычные
C00171,2025-02-14,1,47728.55,321,1,1,1,111,Обычные
C00172,2025-11-30,6,725152.6699999999,32,4,5,5,455,Чемпионы
C00173,2025-12-15,2,237279.07,17,4,2,3,423,Новые/перспективные
C00175,2025-11-28,1,0.0,34,4,1,1,411,Новые/перспективные
C00177,2025-08-01,3,64133.880000000005,153,2,3,2,232,Под риском ухода
C00179,2025-12-22,14,1129022.3599999999,10,5,5,5,555,Чемпионы
C00181,2025-08-15,1,43019.520000000004,139,2,1,1,211,Обычные
C00182,2025-03-15,1,6710.85,292,1,1,1,111,Обычные
C00183,2025-11-28,5,425075.82999999996,34,4,4,4,444,Чемпионы
C00185,2025-09-19,4,137780.67,104,2,4,2,242,Под риском ухода
C00186,2025-12-31,25,1279183.04,1,5,5,5,555,Чемпионы
C00188,2025-09-21,1,22644.9,102,2,1,1,211,Обычные
C00189,2025-10-22,4,490502.64,71,3,4,5,345,Лояльные
C00190,2025-12-24,4,359243.09,8,5,4,4,544,Чемпионы
C00191,2025-10-18,7,694260.99,75,3,5,5,355,Лояльные
C00192,2025-06-25,2,334503.01,190,1,2,4,124,Крупные покупатели
C00193,2025-12-30,2,58084.23,2,5,2,1,521,Новые/перспективные
C00194,2025-12-24,6,643137.7,8,5,5,5,555,Чемпионы
C00195,2025-08-06,3,283869.82,148,2,3,4,234,Крупные покупатели
C00196,2025-12-29,5,169818.45,3,5,4,3,543,Лояльные
C00198,2025-12-24,3,868451.35,8,5,3,5,535,Крупные покупатели
C00199,2025-12-09,6,341882.23,23,4,5,4,454,Чемпионы
C00200,2025-11-09,1,133477.88,53,3,1,2,312,Обычные
C00202,2025-03-08,1,71020.71,299,1,1,2,112,Обычные
C00204,2025-12-09,2,364135.77,23,4,2,4,424,Крупные покупатели
C00206,2025-11-05,2,44865.15,57,3,2,1,321,Обычные
C00207,2025-12-11,4,311359.78,21,4,4,4,444,Чемпионы
C00208,2025-12-28,4,266983.26,4,5,4,4,544,Чемпионы
C00209,2025-06-25,1,234113.58000000002,190,1,1,3,113,Обычные
C00210,2025-12-19,9,581086.56,13,5,5,5,555,Чемпионы
C00212,2025-06-30,1,73854.14,185,1,1,2,112,Обычные
C00214,2025-03-07,1,167916.66,300,1,1,3,113,Обычные
C00217,2025-01-19,1,79988.91,347,1,1,2,112,Обычные
C00218,2025-04-14,1,950.26,262,1,1,1,111,Обычные
C00219,2025-11-24,5,291183.55,38,4,4,4,444,Чемпионы
C00220,2025-10-19,1,257068.35,74,3,1,4,314,Обычные
C00221,2025-12-28,12,926549.91,4,5,5,5,555,Чемпионы
C00222,2025-03-13,1,0.0,294,1,1,1,111,Обычные
C00223,2025-06-06,1,128306.43,209,1,1,2,112,Обычные
C00224,2025-02-28,1,61259.28,307,1,1,2,112,Обычные
C00225,2025-03-06,1,41627.05,301,1,1,1,111,Обычные
C00227,2025-09-25,5,363250.04,98,2,4,4,244,Крупные покупатели
C00228,2025-09-22,3,383987.4,101,2,3,4,234,Крупные покупатели
C00229,2025-12-01,4,996408.97,31,4,4,5,445,Чемпионы
C00230,2025-09-09,1,76580.91,114,2,1,2,212,Обычные
C00232,2025-10-25,5,213452.64,68,3,4,3,343,Лояльные
C00233,2025-12-31,9,664743.87,1,5,5,5,555,Чемпионы
C00234,2025-11-07,4,671944.53,55,3,4,5,345,Лояльные
C00235,2025-03-17,3,86064.22,290,1,3,2,132,Под риском ухода
C00236,2025-12-03,5,113637.08,29,4,4,2,442,Лояльные
C00238,2025-11-05,4,662626.6699999999,57,3,4,5,345,Лояльные
C00240,2025-12-16,7,582404.33,16,5,5,5,555,Чемпионы
C00243,2025-12-13,3,23118.81,19,4,3,1,431,Обычные
C00244,2025-10-31,5,680469.5299999999,62,3,4,5,345,Лояльные
C00245,2025-02-16,1,99082.18,319,1,1,2,112,Обычные
C00247,2025-05-22,2,73532.73999999999,224,1,2,2,122,Обычные
C00248,2025-11-09,7,989216.63,53,3,5,5,355,Лояльные
C00249,2025-10-26,3,106028.19,67,3,3,2,332,Обычные
C00250,2025-12-31,10,500773.51,1,5,5,5,555,Чемпионы
C00251,2025-05-21,2,93302.70999999999,225,1,2,2,122,Обычные
C00253,2025-11-12,2,19340.85,50,3,2,1,321,Обычные
C00254,2025-09-04,3,137758.18,119,2,3,2,232,Под риском ухода
C00255,2025-08-05,2,56012.51,149,2,2,1,221,Обычные
C00256,2025-12-29,22,1847098.4100000001,3,5,5,5,555,Чемпионы
C00257,2025-12-25,3,324989.32,7,5,3,4,534,Крупные покупатели
C00258,2025-12-18,2,62043.83,14,5,2,2,522,Новые/перспективные
C00259,2025-08-11,1,203124.6,143,2,1,3,213,Обычные
C00260,2025-12-11,7,228141.65,21,4,5,3,453,Лояльные
C00262,2025-12-30,5,628372.04,2,5,4,5,545,Чемпионы
C00263,2025-08-10,2,178759.35,144,2,2,3,223,Обычные
C00264,2025-12-25,19,1448033.46,7,5,5,5,555,Чемпионы
C00265,2025-03-05,1,20961.31,302,1,1,1,111,Обычные
C00266,2025-12-12,2,180209.84,20,4,2,3,423,Новые/перспективные
C00268,2025-02-23,1,130917.4,312,1,1,2,112,Обычные
C00270,2025-12-20,2,47902.75,12,5,2,1,521,Новые/перспективные
C00271,2025-12-11,3,471611.15,21,4,3,5,435,Крупные покупатели
C00273,2025-12-04,8,666431.64,28,4,5,5,455,Чемпионы
C00274,2025-02-01,1,89421.46,334,1,1,2,112,Обычные
C00275,2025-02-11,1,151295.4,324,1,1,3,113,Обычные
C00276,2025-11-19,3,377565.36,43,4,3,4,434,Крупные покупатели
C00277,2025-01-02,1,490827.33,364,1,1,5,115,Обычные
C00278,2025-09-21,2,195124.28,102,2,2,3,223,Обычные
C00279,2025-11-19,2,519370.23,43,4,2,5,425,Крупные покупатели
C00283,2025-11-05,1,152009.01,57,3,1,3,313,Обычные
C00284,2025-08-04,1,152405.78,150,2,1,3,213,Обычные
C00285,2025-11-02,2,39750.48,60,3,2,1,321,Обычные
C00287,2025-10-08,3,268332.56,85,3,3,4,334,Крупные покупатели
C00289,2025-12-02,1,456.19,30,4,1,1,411,Новые/перспективные
C00290,2025-12-28,3,19770.660000000003,4,5,3,1,531,Обычные
C00291,2025-11-01,4,248477.04,61,3,4,3,343,Лояльные
C00292,2025-11-19,7,796427.03,43,4,5,5,455,Чемпионы
C00293,2025-12-29,12,1296301.12,3,5,5,5,555,Чемпионы
C00295,2025-09-23,1,110812.53,100,2,1,2,212,Обычные
C00297,2025-12-06,3,89899.17,26,4,3,2,432,Обычные
C00298,2025-01-23,1,5507.64,343,1,1,1,111,Обычные
C00300,2025-11-19,4,759595.77,43,4,4,5,445,Чемпионы
C00304,2025-04-22,1,123806.12,254,1,1,2,112,Обычные
C00308,2025-09-05,1,28685.52,118,2,1,1,211,Обычные
C00309,2025-12-27,3,37237.81,5,5,3,1,531,Обычные
C00311,2025-11-19,4,403582.8,43,4,4,4,444,Чемпионы
C00312,2025-11-23,5,399575.94,39,4,4,4,444,Чемпионы
C00314,2025-07-04,5,357879.98,181,2,4,4,244,Крупные покупатели
C00315,2025-11-20,5,568055.16,42,4,4,5,445,Чемпионы
C00316,2025-12-23,1,847.91,9,5,1,1,511,Новые/перспективные
C00317,2025-12-06,8,1022479.0,26,4,5,5,455,Чемпионы
C00318,2025-05-10,3,222821.66,236,1,3,3,133,Под риском ухода
C00319,2025-12-07,3,161924.69,25,4,3,3,433,Обычные
C00320,2025-12-17,6,276926.03,15,5,5,4,554,Чемпионы
C00321,2025-12-22,4,302355.06,10,5,4,4,544,Чемпионы
C00322,2025-12-24,4,378883.11,8,5,4,4,544,Чемпионы
C00323,2025-12-20,3,202969.75,12,5,3,3,533,Обычные
C00324,2025-12-15,4,786069.06,17,4,4,5,445,Чемпионы
C00326,2025-01-09,1,160672.36,357,1,1,3,113,Обычные
C00327,2025-11-10,2,95613.90999999999,52,3,2,2,322,Обычные
C00333,2025-11-03,1,12973.77,59,3,1,1,311,Обычные
C00334,2025-03-31,1,63027.7,276,1,1,2,112,Обычные
C00335,2025-12-09,2,69354.45,23,4,2,2,422,Новые/перспективные
C00337,2025-12-01,2,129844.56000000001,31,4,2,2,422,Новые/перспективные
C00340,2025-08-24,9,891178.76,130,2,5,5,255,Крупные покупатели
C00341,2025-12-18,7,473272.32,14,5,5,5,555,Чемпионы
C00342,2025-06-14,2,82165.03,201,1,2,2,122,Обычные
C00343,2025-12-03,6,205650.83000000002,29,4,5,3,453,Лояльные
C00344,2025-10-10,6,766840.89,83,3,5,5,355,Лояльные
C00345,2025-12-10,8,731437.96,22,4,5,5,455,Чемпионы
C00346,2025-12-01,4,149256.41,31,4,4,3,443,Лояльные
C00347,2025-06-20,4,294040.77999999997,195,1,4,4,144,Крупные покупатели
C00349,2025-10-09,4,774583.79,84,3,4,5,345,Лояльные
C00351,2025-10-18,3,135132.59,75,3,3,2,332,Обычные
C00354,2025-12-24,3,128040.61,8,5,3,2,532,Обычные
C00355,2025-08-14,2,133125.77000000002,140,2,2,2,222,Обычные
C00356,2025-12-08,3,218668.76,24,4,3,3,433,Обычные
C00358,2025-12-15,7,306562.17,17,4,5,4,454,Чемпионы
C00359,2025-07-08,2,251596.61,177,2,2,3,223,Обычные
C00361,2025-12-24,15,1115528.3,8,5,5,5,555,Чемпионы
C00362,2025-10-28,4,508340.96,65,3,4,5,345,Лояльные
C00363,2025-11-14,2,259696.56999999998,48,3,2,4,324,Крупные покупатели
C00364,2025-10-05,5,558191.07,88,3,4,5,345,Лояльные
C00365,2025-12-04,1,114217.67,28,4,1,2,412,Новые/перспективные
C00366,2025-05-15,4,124742.84,231,1,4,2,142,Под риском ухода
C00367,2025-12-12,6,223297.93,20,4,5,3,453,Лояльные
C00368,2025-10-08,11,536536.14,85,3,5,5,355,Лояльные
C00370,2025-09-22,2,125265.81,101,2,2,2,222,Обычные
C00371,2025-07-19,1,85165.72,166,2,1,2,212,Обычные
C00373,2025-03-22,1,84452.51,285,1,1,2,112,Обычные
C00374,2025-05-13,1,146988.28,233,1,1,3,113,Обычные
C00376,2025-07-03,1,185075.91999999998,182,2,1,3,213,Обычные
C00377,2025-11-29,2,35186.92,33,4,2,1,421,Новые/перспективные
C00380,2025-12-10,4,392316.45,22,4,4,4,444,Чемпионы
C00382,2025-09-12,4,564188.78,111,2,4,5,245,Крупные покупатели
C00383,2025-05-19,1,151893.27,227,1,1,3,113,Обычные
C00384,2025-06-14,2,129358.99,201,1,2,2,122,Обычные
C00385,2025-06-22,1,273045.51,193,1,1,4,114,Обычные
C00387,2025-07-19,1,2951.26,166,2,1,1,211,Обычные
C00389,2025-06-20,3,48009.9,195,1,3,1,131,Под риском ухода
C00392,2025-11-23,5,432904.88,39,4,4,4,444,Чемпионы
C00393,2025-02-12,1,96422.56,323,1,1,2,112,Обычные
C00394,2025-07-05,2,96659.33,180,2,2,2,222,Обычные
C00398,2025-12-29,14,815796.1799999999,3,5,5,5,555,Чемпионы
C00399,2025-12-31,13,1085512.8699999999,1,5,5,5,555,Чемпионы
C00400,2025-11-20,1,36542.21,42,4,1,1,411,Новые/перспективные
C00401,2025-07-30,3,73261.23000000001,155,2,3,2,232,Под риском ухода
C00402,2025-09-14,4,453022.34,109,2,4,5,245,Крупные покупатели
C00404,2025-06-12,2,345943.73,203,1,2,4,124,Крупные покупатели
C00406,2025-10-12,2,417618.53,81,3,2,4,324,Крупные покупатели
C00407,2025-11-18,2,188836.14,44,4,2,3,423,Новые/перспективные
C00408,2025-12-31,3,292098.22000000003,1,5,3,4,534,Крупные покупатели
C00409,2025-10-01,2,179322.09,92,3,2,3,323,Обычные
C00410,2025-11-06,4,664223.88,56,3,4,5,345,Лояльные
C00412,2025-06-28,3,241002.02000000002,187,1,3,3,133,Под риском ухода
C00414,2025-11-04,9,545822.95,58,3,5,5,355,Лояльные
C00415,2025-11-02,2,207445.53,60,3,2,3,323,Обычные
C00416,2025-11-03,5,723014.16,59,3,4,5,345,Лояльные
C00417,2025-09-05,1,6485.04,118,2,1,1,211,Обычные
C00418,2025-05-14,2,137205.71000000002,232,1,2,2,122,Обычные
C00419,2025-10-08,4,470847.99,85,3,4,5,345,Лояльные
C00420,2025-07-10,2,115717.98,175,2,2,2,222,Обычные
C00423,2025-12-23,3,193932.01,9,5,3,3,533,Обычные
C00425,2025-05-05,2,368018.72000000003,241,1,2,4,124,Крупные покупатели
C00426,2025-12-12,4,516097.96,20,4,4,5,445,Чемпионы
C00427,2025-09-05,4,497846.09,118,2,4,5,245,Крупные покупатели
C00430,2025-12-06,2,34312.95,26,4,2,1,421,Новые/перспективные
C00432,2025-12-21,1,39197.98,11,5,1,1,511,Новые/перспективные
C00433,2025-09-25,2,103015.40000000001,98,2,2,2,222,Обычные
C00436,2025-12-11,4,243422.16,21,4,4,3,443,Лояльные
C00437,2025-08-18,2,207910.16999999998,136,2,2,3,223,Обычные
C00438,2025-10-11,6,381636.76,82,3,5,4,354,Лояльные
C00440,2025-12-21,4,237458.07,11,5,4,3,543,Лояльные
C00441,2025-10-28,2,380503.27,65,3,2,4,324,Крупные покупатели
C00443,2025-09-08,1,44922.48,115,2,1,1,211,Обычные
C00444,2025-10-04,1,15759.93,89,3,1,1,311,Обычные
C00445,2025-12-24,5,348852.37,8,5,4,4,544,Чемпионы
C00446,2025-11-19,2,301609.85,43,4,2,4,424,Крупные покупатели
C00447,2025-03-18,1,119108.8,289,1,1,2,112,Обычные
C00448,2025-08-02,3,73028.58,152,2,3,2,232,Под риском ухода
C00449,2025-07-15,1,104352.13,170,2,1,2,212,Обычные
C00450,2025-11-25,9,429195.97000000003,37,4,5,4,454,Чемпионы
C00451,2025-02-26,1,57636.7,309,1,1,1,111,Обычные
C00452,2025-10-30,2,254219.31,63,3,2,3,323,Обычные
C00453,2025-12-13,4,1042162.4099999999,19,4,4,5,445,Чемпионы
C00454,2025-12-16,5,305945.17,16,5,4,4,544,Чемпионы
C00455,2025-08-23,2,41403.29,131,2,2,1,221,Обычные
C00456,2025-09-22,2,173205.94,101,2,2,3,223,Обычные
C00457,2025-07-27,1,25213.45,158,2,1,1,211,Обычные
C00459,2025-12-30,3,111612.55,2,5,3,2,532,Обычные
C00460,2025-12-18,16,1492390.11,14,5,5,5,555,Чемпионы
C00461,2025-07-31,3,72209.13,154,2,3,2,232,Под риском ухода
C00462,2025-10-09,3,377200.73,84,3,3,4,334,Крупные покупатели
C00463,2025-11-11,2,97195.76,51,3,2,2,322,Обычные
C00464,2025-05-19,1,65117.69,227,1,1,2,112,Обычные
C00465,2025-06-04,1,92912.48,211,1,1,2,112,Обычные
C00466,2025-06-18,3,411859.24,197,1,3,4,134,Крупные покупатели
C00467,2025-07-17,1,117569.52,168,2,1,2,212,Обычные
C00468,2025-10-17,4,339637.8,76,3,4,4,344,Лояльные
C00469,2025-01-07,1,91775.54,359,1,1,2,112,Обычные
C00470,2025-07-30,2,155733.36,155,2,2,3,223,Обычные
C00471,2025-09-19,4,429247.37,104,2,4,4,244,Крупные покупатели
C00472,2025-12-15,4,71918.20000000001,17,4,4,2,442,Лояльные
C00474,2025-12-03,2,229812.38999999998,29,4,2,3,423,Новые/перспективные
C00475,2025-04-14,2,468043.42,262,1,2,5,125,Крупные покупатели
C00476,2025-03-28,3,399581.15,279,1,3,4,134,Крупные покупатели
C00479,2025-12-25,5,406885.54,7,5,4,4,544,Чемпионы
C00480,2025-10-09,4,336678.36,84,3,4,4,344,Лояльные
C00481,2025-11-25,2,221145.57,37,4,2,3,423,Новые/перспективные
C00482,2025-12-25,1,166183.62,7,5,1,3,513,Новые/перспективные
C00483,2025-12-01,5,454921.25,31,4,4,5,445,Чемпионы
C00485,2025-11-25,15,1509311.55,37,4,5,5,455,Чемпионы
C00486,2025-07-05,2,12979.12,180,2,2,1,221,Обычные
C00488,2025-12-31,11,1039267.37,1,5,5,5,555,Чемпионы
C00489,2025-10-16,3,130952.69000000002,77,3,3,2,332,Обычные
C00492,2025-08-11,1,6758.62,143,2,1,1,211,Обычные
C00493,2025-11-19,2,169793.83,43,4,2,3,423,Новые/перспективные
C00494,2025-12-27,8,525899.52,5,5,5,5,555,Чемпионы
C00495,2025-09-20,4,376740.42,103,2,4,4,244,Крупные покупатели
C00496,2025-04-21,1,114937.06,255,1,1,2,112,Обычные
C00498,2025-12-23,3,474306.04000000004,9,5,3,5,535,Крупные покупатели
C00499,2025-10-26,4,400418.67,67,3,4,4,344,Лояльные
C00502,2025-10-05,7,730746.16,88,3,5,5,355,Лояльные
C00503,2025-12-10,2,8625.68,22,4,2,1,421,Новые/перспективные
C00505,2025-10-25,2,287235.38,68,3,2,4,324,Крупные покупатели
C00507,2025-11-04,8,248426.34,58,3,5,3,353,Лояльные
C00508,2025-12-06,5,544266.83,26,4,4,5,445,Чемпионы
C00509,2025-11-15,3,59775.2,47,3,3,2,332,Обычные
C00510,2025-05-29,2,282669.96,217,1,2,4,124,Крупные покупатели
C00511,2025-03-20,1,21541.25,287,1,1,1,111,Обычные
C00512,2025-06-14,2,19438.53,201,1,2,1,121,Обычные
C00513,2025-12-30,9,990222.29,2,5,5,5,555,Чемпионы
C00514,2025-10-21,5,325368.73,72,3,4,4,344,Лояльные
C00515,2025-07-06,4,304938.12,179,2,4,4,244,Крупные покупатели
C00517,2025-10-06,3,627743.59,87,3,3,5,335,Крупные покупатели
C00518,2025-12-05,4,273048.55,27,4,4,4,444,Чемпионы
C00519,2025-07-21,3,99956.63,164,2,3,2,232,Под риском ухода
C00520,2025-03-17,1,632.12,290,1,1,1,111,Обычные
C00521,2025-10-24,14,1176472.43,69,3,5,5,355,Лояльные
C00522,2025-08-24,2,55776.0,130,2,2,1,221,Обычные
C00524,2025-05-12,2,110381.64000000001,234,1,2,2,122,Обычные
C00525,2025-05-14,1,168263.55,232,1,1,3,113,Обычные
C00526,2025-11-13,8,790054.89,49,3,5,5,355,Лояльные
C00527,2025-02-03,1,1720.68,332,1,1,1,111,Обычные
C00529,2025-12-02,3,261234.0,30,4,3,4,434,Крупные покупатели
C00530,2025-08-03,1,152787.66,151,2,1,3,213,Обычные
