ticket_id,created_at,channel,category,priority,customer_segment,previous_tickets_90d,backlog_at_creation,agent_experience_months,first_response_minutes,messages_count,reopen_count,resolution_minutes,sla_limit_minutes,sla_breached,cluster
TKT-00055,2026-03-21 10:36:00,chat,incident,medium,vip,3,14,15,44.5,14,1,1006.3,1200,0,0
TKT-00056,2026-01-03 00:59:00,phone,account,high,standard,2,52,21,121.2,8,0,1548.5,780,1,2
TKT-00057,2026-05-14 11:57:00,email,technical,low,standard,4,23,33,35.5,13,0,739.4,1800,0,0
TKT-00058,2026-04-29 01:34:00,email,technical,medium,business,5,15,31,21.5,14,0,730.1,1200,0,0
TKT-00059,2026-05-10 08:30:00,chat,billing,medium,business,1,7,39,14.0,5,0,159.4,1200,0,1
TKT-00060,2026-01-30 09:06:00,chat,how_to,low,vip,2,16,47,14.7,1,0,139.5,1800,0,1
TKT-00061,2026-06-07 11:44:00,phone,billing,high,vip,6,22,2,45.2,15,1,1256.0,780,1,0
TKT-00062,2026-02-02 11:00:00,email,billing,high,business,4,26,13,32.8,14,0,830.1,780,1,0
TKT-00063,2026-04-13 18:09:00,portal,account,high,vip,6,26,31,22.1,16,0,568.1,780,0,0
TKT-00064,2026-04-11 14:28:00,email,billing,high,standard,2,59,19,151.0,8,0,1846.3,780,1,2
TKT-00065,2026-02-09 08:52:00,email,incident,high,business,4,17,16,46.7,15,5,994.2,780,1,0
TKT-00066,2026-03-09 13:46:00,phone,technical,medium,vip,5,17,23,24.2,15,1,808.9,1200,0,0
TKT-00067,2026-01-10 09:29:00,portal,technical,low,business,5,27,32,52.2,13,0,1036.8,1800,0,0
TKT-00068,2026-03-26 20:02:00,email,billing,low,vip,2,5,24,9.0,2,0,159.7,1800,0,1
TKT-00069,2026-05-02 21:07:00,chat,how_to,medium,standard,1,10,45,22.7,2,0,201.4,1200,0,1
TKT-00070,2026-02-25 14:23:00,phone,technical,critical,standard,5,19,16,29.0,18,1,849.5,420,1,0
TKT-00071,2026-04-07 19:09:00,email,how_to,low,standard,2,12,31,9.8,2,0,141.5,1800,0,1
TKT-00072,2026-06-21 14:58:00,phone,account,medium,vip,4,27,27,34.2,11,1,900.1,1200,0,0
TKT-00073,2026-02-12 05:32:00,portal,technical,high,standard,2,42,14,151.7,6,1,1339.5,780,1,2
TKT-00074,2026-02-22 07:38:00,portal,billing,medium,business,1,5,25,12.3,5,0,231.2,1200,0,1
TKT-00075,2026-01-22 14:22:00,portal,incident,medium,standard,0,12,39,13.3,3,0,179.9,1200,0,1
TKT-00076,2026-04-08 13:38:00,phone,how_to,medium,business,1,15,54,13.3,3,0,155.1,1200,0,1
TKT-00077,2026-02-06 16:35:00,chat,billing,medium,standard,2,12,30,15.6,2,0,178.1,1200,0,1
TKT-00078,2026-06-03 18:48:00,portal,billing,high,standard,5,24,31,32.1,15,4,693.7,780,0,0
TKT-00079,2026-02-22 08:52:00,portal,account,low,business,4,31,31,28.9,14,3,781.0,1800,0,0
TKT-00080,2026-04-30 13:15:00,email,technical,critical,business,1,43,23,106.2,8,0,1093.8,420,1,2
TKT-00081,2026-02-04 01:24:00,email,billing,low,business,5,16,19,34.8,12,1,632.4,1800,0,0
TKT-00082,2026-02-28 02:23:00,chat,technical,high,standard,5,18,15,36.2,16,4,1040.1,780,1,0
TKT-00083,2026-01-31 19:34:00,portal,account,low,standard,3,56,10,132.0,7,0,1680.6,1800,0,2
TKT-00084,2026-04-10 10:31:00,chat,how_to,low,vip,0,0,53,12.9,3,0,117.7,1800,0,1
TKT-00085,2026-01-05 23:58:00,email,technical,low,business,1,6,21,7.4,4,0,114.0,1800,0,1
TKT-00086,2026-01-15 22:31:00,portal,billing,low,business,1,14,34,11.8,2,0,166.0,1800,0,1
TKT-00087,2026-04-01 06:09:00,portal,incident,medium,business,7,27,5,30.1,15,2,819.6,1200,0,0
TKT-00088,2026-04-09 05:21:00,phone,account,low,vip,5,13,14,34.7,13,2,560.0,1800,0,0
TKT-00089,2026-03-01 08:22:00,email,technical,medium,standard,1,8,29,19.7,4,0,226.5,1200,0,1
TKT-00090,2026-03-19 15:36:00,email,account,medium,business,5,22,19,32.0,15,2,650.4,1200,0,0
TKT-00091,2026-03-16 23:13:00,portal,billing,medium,business,1,12,31,10.7,4,0,200.9,1200,0,1
TKT-00092,2026-05-17 10:16:00,phone,technical,high,standard,5,19,19,52.3,15,1,983.2,780,1,0
TKT-00093,2026-03-22 08:40:00,chat,account,high,standard,5,17,31,39.5,15,2,464.5,780,0,0
TKT-00094,2026-06-02 14:56:00,chat,billing,low,business,0,0,25,12.8,2,0,73.6,1800,0,1
TKT-00095,2026-02-09 01:33:00,email,incident,low,business,1,19,32,12.6,3,1,202.8,1800,0,1
TKT-00096,2026-02-05 22:20:00,phone,technical,critical,business,5,21,23,30.0,16,0,1073.0,420,1,0
TKT-00097,2026-03-14 16:05:00,portal,account,low,standard,0,16,38,11.4,2,0,200.3,1800,0,1
TKT-00098,2026-01-15 16:14:00,email,account,low,vip,1,9,42,14.1,1,0,114.8,1800,0,1
TKT-00099,2026-05-01 18:57:00,portal,account,high,standard,1,7,48,15.0,2,0,148.0,780,0,1
TKT-00100,2026-03-12 07:12:00,email,incident,critical,standard,2,56,27,118.2,9,0,1556.6,420,1,2
TKT-00101,2026-03-07 22:50:00,phone,technical,high,vip,3,53,22,107.8,7,1,1193.9,780,1,2
TKT-00102,2026-04-07 03:31:00,phone,account,high,vip,6,22,12,30.9,16,6,816.5,780,0,0
TKT-00103,2026-01-15 18:41:00,email,how_to,medium,vip,1,17,20,15.9,5,0,104.5,1200,0,1
TKT-00104,2026-03-09 19:47:00,email,technical,high,vip,4,48,30,147.9,7,0,1062.7,780,1,2
TKT-00105,2026-06-24 23:58:00,chat,incident,low,business,3,48,11,129.7,6,1,880.3,1800,0,2
TKT-00106,2026-04-24 03:23:00,phone,account,low,standard,5,27,22,30.6,13,1,662.0,1800,0,0
TKT-00107,2026-04-14 07:34:00,chat,billing,high,standard,5,12,40,44.7,14,2,581.0,780,0,0
TKT-00108,2026-04-02 00:24:00,portal,how_to,low,vip,1,17,27,12.5,2,0,229.3,1800,0,1
TKT-00109,2026-03-26 08:53:00,portal,billing,medium,business,2,7,23,8.7,4,0,207.7,1200,0,1
TKT-00110,2026-06-18 14:13:00,chat,incident,medium,standard,2,44,2,223.7,7,0,1388.5,1200,1,2
TKT-00111,2026-06-17 11:08:00,chat,billing,high,standard,4,16,40,37.5,14,0,595.4,780,0,0
TKT-00112,2026-03-15 16:34:00,email,billing,medium,standard,1,19,32,10.9,3,0,199.0,1200,0,1
TKT-00113,2026-06-16 10:49:00,email,account,medium,standard,1,15,35,10.5,1,0,153.6,1200,0,1
TKT-00114,2026-01-15 20:22:00,email,incident,high,vip,5,16,41,38.7,13,0,462.4,780,0,0
TKT-00115,2026-02-27 13:09:00,portal,how_to,low,standard,2,14,49,12.7,1,0,139.7,1800,0,1
TKT-00116,2026-02-24 08:21:00,chat,incident,high,business,2,49,33,111.0,6,0,1602.5,780,1,2
TKT-00117,2026-05-06 12:09:00,email,technical,medium,vip,2,53,26,102.9,8,0,1358.2,1200,1,2
TKT-00118,2026-04-20 01:27:00,chat,technical,high,business,4,20,23,45.4,15,2,946.4,780,1,0
TKT-00119,2026-03-27 01:40:00,chat,how_to,high,business,5,25,26,47.0,15,2,987.4,780,1,0
TKT-00120,2026-02-16 02:01:00,chat,technical,critical,standard,6,15,27,38.0,16,0,763.4,420,1,0
TKT-00121,2026-04-02 05:40:00,email,technical,high,standard,6,18,14,42.5,17,0,915.5,780,1,0
TKT-00122,2026-02-18 10:01:00,chat,account,critical,standard,7,25,17,37.1,16,1,789.4,420,1,0
TKT-00123,2026-03-31 13:06:00,portal,billing,low,standard,1,10,24,8.7,3,0,277.7,1800,0,1
TKT-00124,2026-03-03 02:57:00,portal,technical,critical,standard,5,30,30,17.3,14,0,1619.9,420,1,0
TKT-00125,2026-06-09 22:50:00,portal,billing,medium,standard,0,7,37,7.5,4,0,163.4,1200,0,1
TKT-00126,2026-05-15 07:19:00,portal,how_to,medium,standard,4,19,21,28.1,15,1,550.3,1200,0,0
TKT-00127,2026-02-01 13:10:00,chat,billing,medium,standard,0,11,25,14.7,3,1,289.2,1200,0,1
TKT-00128,2026-06-19 05:22:00,chat,how_to,low,vip,1,9,38,14.7,3,0,155.3,1800,0,1
TKT-00129,2026-04-29 13:56:00,portal,technical,low,standard,2,14,35,10.0,3,0,209.5,1800,0,1
TKT-00130,2026-03-05 01:37:00,chat,incident,medium,business,5,16,34,37.7,14,3,703.3,1200,0,0
TKT-00131,2026-04-06 11:35:00,email,how_to,low,business,0,11,41,12.2,2,0,213.8,1800,0,1
TKT-00132,2026-02-05 04:30:00,chat,billing,high,standard,2,55,19,120.6,7,1,862.5,780,1,2
TKT-00133,2026-01-09 10:16:00,phone,billing,high,business,6,22,17,26.8,17,1,1311.0,780,1,0
TKT-00134,2026-03-17 17:09:00,email,billing,medium,business,0,11,28,12.3,3,0,275.8,1200,0,1
TKT-00135,2026-05-21 18:59:00,portal,incident,medium,business,4,21,17,34.6,15,3,510.6,1200,0,0
TKT-00136,2026-03-05 07:56:00,portal,billing,low,standard,1,19,39,18.2,3,0,151.4,1800,0,1
TKT-00137,2026-03-11 03:57:00,email,how_to,high,business,3,52,15,111.3,9,0,1704.0,780,1,2
TKT-00138,2026-06-28 04:54:00,phone,how_to,low,business,4,16,31,28.7,14,0,858.7,1800,0,0
TKT-00139,2026-06-27 16:55:00,email,account,critical,standard,4,43,33,135.4,10,1,832.8,420,1,2
TKT-00140,2026-03-25 11:54:00,portal,technical,low,standard,0,3,56,9.7,3,0,99.3,1800,0,1
TKT-00141,2026-01-08 22:52:00,portal,technical,high,standard,4,24,28,30.1,15,0,793.5,780,1,0
TKT-00142,2026-05-03 06:30:00,phone,technical,high,vip,4,17,19,30.2,16,3,1161.7,780,1,0
TKT-00143,2026-05-09 15:33:00,email,account,high,standard,2,49,19,124.8,9,1,1261.3,780,1,2
TKT-00144,2026-06-14 11:33:00,chat,incident,high,standard,5,24,38,50.9,17,0,1460.3,780,1,0
TKT-00145,2026-06-20 15:35:00,chat,account,medium,business,6,23,41,29.2,13,2,850.3,1200,0,0
TKT-00146,2026-04-24 05:32:00,portal,account,high,vip,0,14,36,13.2,3,0,303.4,780,0,1
TKT-00147,2026-01-20 06:47:00,portal,technical,medium,standard,1,11,54,12.7,5,0,133.4,1200,0,1
TKT-00148,2026-02-14 21:18:00,email,technical,high,standard,4,17,13,23.4,15,1,855.0,780,1,0
TKT-00149,2026-05-10 00:03:00,email,incident,high,business,5,16,32,50.0,16,1,922.3,780,1,0
TKT-00150,2026-04-20 08:00:00,email,how_to,high,business,2,11,29,12.1,3,0,176.6,780,1,1
TKT-00151,2026-03-20 11:25:00,chat,technical,critical,business,3,55,21,94.9,8,0,1207.7,420,1,2
TKT-00152,2026-03-14 08:06:00,portal,billing,high,vip,4,59,26,136.4,8,0,1011.8,780,1,2
TKT-00153,2026-05-08 17:14:00,email,billing,medium,standard,2,3,37,9.9,4,0,163.9,1200,0,1
TKT-00154,2026-03-18 00:33:00,portal,billing,high,standard,5,23,18,34.9,16,4,1056.4,780,1,0
TKT-00155,2026-01-28 20:39:00,portal,how_to,medium,standard,1,8,21,17.1,3,0,140.8,1200,0,1
TKT-00156,2026-06-26 06:40:00,chat,how_to,critical,standard,5,16,30,32.9,16,2,1029.1,420,1,0
TKT-00157,2026-03-04 21:20:00,chat,how_to,low,standard,2,12,37,14.0,3,0,179.8,1800,0,1
TKT-00158,2026-02-20 03:30:00,chat,technical,medium,vip,5,16,31,37.5,16,2,964.9,1200,0,0
TKT-00159,2026-01-13 11:26:00,portal,account,low,standard,4,22,22,29.5,13,3,813.9,1800,0,0
TKT-00160,2026-03-26 09:47:00,email,account,medium,business,2,49,35,107.5,9,2,1354.2,1200,1,2
TKT-00161,2026-06-27 12:23:00,portal,incident,high,standard,0,19,34,9.6,5,0,237.5,780,0,1
TKT-00162,2026-01-29 18:37:00,phone,incident,high,business,2,46,10,163.1,6,0,1280.7,780,1,2
TKT-00163,2026-02-14 01:06:00,email,how_to,low,standard,1,8,25,10.8,3,0,239.9,1800,0,1
TKT-00164,2026-02-02 03:18:00,chat,billing,low,standard,1,11,30,11.9,5,0,214.9,1800,0,1
TKT-00165,2026-01-17 22:18:00,portal,technical,medium,standard,5,24,41,56.7,16,1,616.7,1200,0,0
TKT-00166,2026-04-19 15:03:00,portal,account,medium,vip,2,4,39,17.4,3,0,181.7,1200,0,1
TKT-00167,2026-02-23 16:10:00,chat,account,critical,vip,3,51,10,106.5,8,1,1475.9,420,1,2
TKT-00168,2026-05-16 04:23:00,email,incident,low,vip,3,42,30,125.5,3,0,831.4,1800,0,2
TKT-00169,2026-03-14 02:46:00,email,how_to,medium,business,1,11,42,17.3,3,0,193.3,1200,0,1
TKT-00170,2026-04-25 13:30:00,email,account,high,standard,3,56,17,187.0,8,2,1593.7,780,1,2
TKT-00171,2026-01-17 02:10:00,phone,account,medium,standard,0,20,33,13.8,3,0,120.0,1200,0,1
TKT-00172,2026-03-01 06:30:00,portal,technical,medium,standard,5,15,40,40.8,13,3,1253.7,1200,1,0
TKT-00173,2026-03-16 12:40:00,chat,account,low,business,1,8,26,9.2,3,0,147.6,1800,0,1
TKT-00174,2026-01-11 17:33:00,email,how_to,high,standard,3,55,5,117.9,8,0,1830.2,780,1,2
TKT-00175,2026-03-17 11:18:00,portal,how_to,medium,standard,2,8,27,13.9,2,0,177.7,1200,0,1
TKT-00176,2026-03-26 15:32:00,email,how_to,medium,business,0,8,44,13.1,4,0,202.4,1200,0,1
TKT-00177,2026-03-14 16:35:00,email,billing,medium,standard,4,16,18,29.9,15,2,1041.6,1200,1,0
TKT-00178,2026-04-01 18:26:00,phone,how_to,critical,business,4,49,22,154.1,8,0,1308.5,420,1,2
TKT-00179,2026-05-24 12:03:00,phone,technical,high,standard,1,50,12,99.3,6,1,1621.1,780,1,2
TKT-00180,2026-05-19 17:12:00,phone,technical,medium,business,5,20,13,38.9,14,0,801.2,1200,0,0
TKT-00181,2026-01-03 12:54:00,phone,technical,critical,vip,2,43,27,148.0,9,1,1245.8,420,1,2
TKT-00182,2026-04-26 06:03:00,chat,account,critical,business,2,43,6,116.4,7,0,2244.6,420,1,2
TKT-00183,2026-06-12 17:37:00,email,how_to,low,standard,5,18,24,23.7,13,1,856.2,1800,0,0
TKT-00184,2026-06-06 19:50:00,chat,account,medium,standard,2,16,30,13.0,2,0,161.7,1200,0,1
TKT-00185,2026-02-28 04:53:00,portal,how_to,medium,standard,3,43,39,117.9,6,0,1139.0,1200,0,2
TKT-00186,2026-05-21 22:29:00,chat,incident,high,standard,5,20,24,39.4,16,2,839.8,780,1,0
TKT-00187,2026-05-25 04:12:00,portal,how_to,low,standard,2,11,33,12.0,3,0,155.6,1800,0,1
TKT-00188,2026-03-07 20:35:00,email,billing,medium,standard,1,13,41,21.7,4,0,161.9,1200,0,1
TKT-00189,2026-06-06 10:42:00,email,incident,medium,standard,6,13,15,38.4,13,1,711.8,1200,0,0
TKT-00190,2026-04-24 19:11:00,portal,billing,medium,standard,0,10,31,15.2,1,0,214.4,1200,0,1
TKT-00191,2026-05-16 04:47:00,portal,technical,critical,vip,2,51,10,141.0,8,0,2938.3,420,1,2
TKT-00192,2026-05-15 12:16:00,portal,account,low,standard,1,3,47,13.1,1,0,110.7,1800,0,1
TKT-00193,2026-05-21 15:24:00,portal,how_to,high,standard,2,5,44,12.0,3,0,139.8,780,0,1
TKT-00194,2026-06-22 05:43:00,portal,technical,critical,business,1,47,27,119.7,10,0,1060.8,420,1,2
TKT-00195,2026-06-04 08:03:00,portal,technical,high,standard,1,7,30,13.2,5,0,139.5,780,0,1
TKT-00196,2026-03-18 00:33:00,email,incident,low,vip,1,12,45,20.1,1,1,217.1,1800,0,1
TKT-00197,2026-04-12 04:04:00,email,account,high,standard,6,18,40,53.4,15,2,663.7,780,0,0
TKT-00198,2026-04-27 16:34:00,chat,account,low,business,3,46,2,77.0,6,1,885.7,1800,0,2
TKT-00199,2026-06-04 04:17:00,portal,account,low,business,0,5,26,9.4,2,1,141.9,1800,0,1
TKT-00200,2026-03-12 16:18:00,email,billing,high,business,1,8,41,11.9,2,0,231.8,780,0,1
TKT-00201,2026-02-26 08:02:00,portal,account,high,business,2,44,17,170.4,8,0,1017.2,780,1,2
TKT-00202,2026-05-13 19:25:00,email,billing,high,business,1,46,14,102.7,6,0,1209.3,780,1,2
TKT-00203,2026-06-21 18:00:00,email,billing,medium,business,5,14,21,38.1,14,1,666.3,1200,0,0
TKT-00204,2026-06-14 03:48:00,email,billing,medium,standard,1,10,44,12.9,5,0,156.6,1200,0,1
TKT-00205,2026-01-27 15:10:00,portal,how_to,medium,business,0,9,43,12.2,4,0,187.4,1200,1,1
TKT-00206,2026-06-15 11:03:00,email,how_to,medium,standard,1,10,23,9.9,4,0,156.3,1200,0,1
TKT-00207,2026-05-23 01:17:00,portal,how_to,high,standard,2,12,38,15.1,4,0,230.1,780,0,1
TKT-00208,2026-01-29 06:37:00,email,incident,medium,standard,4,15,34,47.4,16,2,398.5,1200,0,0
TKT-00209,2026-01-02 04:16:00,portal,how_to,low,standard,2,11,22,12.2,2,0,192.1,1800,0,1
TKT-00210,2026-02-06 17:41:00,chat,how_to,high,standard,5,17,14,29.2,13,0,870.3,780,1,0
TKT-00211,2026-06-17 07:07:00,email,account,critical,standard,3,17,35,24.2,20,1,938.8,420,1,0
TKT-00212,2026-05-16 21:17:00,chat,billing,medium,business,6,14,10,35.8,15,1,936.4,1200,0,0
TKT-00213,2026-04-14 13:19:00,portal,incident,low,standard,1,9,33,10.1,3,0,169.5,1800,0,1
TKT-00214,2026-04-24 13:57:00,portal,incident,medium,business,3,55,24,90.9,6,0,1163.2,1200,0,2
TKT-00215,2026-03-16 09:33:00,email,account,high,business,4,26,31,43.8,15,2,1007.5,780,1,0
TKT-00216,2026-06-12 22:03:00,portal,account,medium,business,4,25,25,47.5,14,2,776.9,1200,0,0
TKT-00217,2026-01-29 02:54:00,email,billing,medium,business,0,0,42,10.5,4,0,195.8,1200,0,1
TKT-00218,2026-02-26 11:37:00,chat,how_to,critical,standard,1,7,35,15.4,3,0,196.9,420,0,1
TKT-00219,2026-02-06 02:33:00,chat,account,low,standard,3,48,17,107.7,7,1,951.6,1800,0,2
TKT-00220,2026-06-02 15:26:00,portal,how_to,medium,business,2,17,27,8.8,4,0,183.2,1200,0,1
TKT-00221,2026-04-08 05:01:00,portal,how_to,medium,business,2,0,45,13.0,4,0,106.8,1200,0,1
TKT-00222,2026-05-04 01:54:00,chat,technical,high,business,5,24,28,23.2,13,0,763.3,780,0,0
TKT-00223,2026-06-15 11:55:00,portal,how_to,medium,business,6,14,18,25.7,15,2,653.9,1200,0,0
TKT-00224,2026-02-05 04:22:00,email,billing,high,business,3,45,30,160.4,7,0,1695.1,780,1,2
TKT-00225,2026-06-23 14:19:00,chat,billing,low,business,0,5,34,15.0,2,0,212.2,1800,1,1
TKT-00226,2026-01-23 18:27:00,email,technical,high,business,2,47,25,123.9,8,2,1250.7,780,1,2
TKT-00227,2026-05-16 18:31:00,portal,how_to,medium,business,2,11,30,14.9,4,1,214.8,1200,0,1
TKT-00228,2026-05-07 11:45:00,email,how_to,low,standard,5,18,19,25.4,14,3,446.4,1800,0,0
TKT-00229,2026-05-29 13:48:00,chat,billing,medium,standard,5,24,23,28.7,11,1,699.1,1200,0,0
TKT-00230,2026-01-29 12:33:00,portal,how_to,high,standard,2,16,38,7.4,5,0,162.5,780,0,1
TKT-00231,2026-06-22 18:47:00,email,account,low,standard,2,9,22,12.3,5,0,169.0,1800,0,1
TKT-00232,2026-05-23 23:30:00,email,incident,medium,vip,5,20,28,42.3,13,1,665.7,1200,0,0
TKT-00233,2026-01-20 21:56:00,email,account,high,standard,4,41,13,140.4,6,0,1261.0,780,1,2
TKT-00234,2026-04-11 06:39:00,email,account,medium,standard,5,19,18,36.0,17,1,724.2,1200,0,0
TKT-00235,2026-05-28 02:36:00,chat,technical,medium,vip,2,58,3,128.6,5,1,1206.4,1200,1,2
TKT-00236,2026-03-27 20:03:00,email,technical,high,standard,2,51,34,120.0,7,0,822.4,780,1,2
TKT-00237,2026-03-10 13:31:00,chat,billing,low,vip,5,21,27,49.4,11,1,656.2,1800,0,0
TKT-00238,2026-02-19 14:17:00,email,billing,high,standard,3,49,24,108.7,8,0,747.3,780,0,2
TKT-00239,2026-04-03 20:50:00,portal,billing,medium,standard,2,7,36,13.1,3,0,171.4,1200,0,1
TKT-00240,2026-06-27 02:12:00,portal,billing,medium,standard,1,13,45,11.8,2,0,175.3,1200,0,1
TKT-00241,2026-04-20 08:28:00,email,billing,low,standard,1,50,22,110.6,7,0,1036.1,1800,0,2
TKT-00242,2026-05-10 23:45:00,email,account,critical,standard,2,45,17,198.6,9,1,1139.1,420,1,2
TKT-00243,2026-05-21 08:00:00,chat,how_to,low,standard,1,13,32,10.8,2,0,140.5,1800,0,1
TKT-00244,2026-05-21 01:14:00,phone,account,high,standard,5,18,35,24.1,17,1,487.7,780,0,0
TKT-00245,2026-03-14 01:56:00,chat,account,medium,standard,5,21,19,41.3,14,3,662.7,1200,0,0
TKT-00246,2026-05-19 08:49:00,email,technical,critical,vip,3,52,18,126.9,7,0,1087.4,420,0,2
TKT-00247,2026-03-01 01:09:00,email,technical,low,standard,4,26,27,31.4,13,2,702.4,1800,0,0
TKT-00248,2026-04-16 02:56:00,chat,billing,low,business,4,10,21,35.7,14,1,595.8,1800,0,0
