line_id,order_id,sale_date,customer_id,city,sales_channel,customer_segment,payment_method,product_id,product_name,category,brand,promo_campaign,discount_pct,quantity,unit_price_rub,unit_cost_rub,returned,gross_revenue_rub,discount_amount_rub,sales_after_discount_rub,net_revenue_rub,cost_total_rub,gross_profit_rub,margin_pct,month_start,month_num,year
L000016,ORD001230,2025-04-14,C00807,Казань,Магазин,VIP,Карта,P039,Аудио Marshall Model 39,Аудио,Marshall,Без акции,0.0681,1,35026.02,24300.72,0,35026.02,2385.27,32640.75,32640.75,24300.72,8340.03,0.2555097091614024,2025-04-01,4,2025
L000017,ORD005809,2025-10-30,C01190,Москва,Сайт,Новый,Карта,P057,Игровая техника Logitech Model 57,Игровая техника,Logitech,Weekend,0.0457,1,71514.32,54246.73,0,71514.32,3268.2,68246.12,68246.12,54246.73,13999.39,0.20513087752826106,2025-10-01,10,2025
L000018,ORD003320,2025-08-23,C01482,Москва,Магазин,VIP,Рассрочка,P023,Телевизоры Hisense Model 23,Телевизоры,Hisense,Без акции,0.0683,1,151387.04,102782.12,0,151387.04,10339.73,141047.31,141047.31,102782.12,38265.19,0.2712932737170891,2025-08-01,8,2025
L000019,ORD000708,2025-11-02,C00615,Самара,Магазин,VIP,Рассрочка,P054,Аксессуары Apple Model 54,Аксессуары,Apple,Weekend,0.0881,1,2958.31,2001.92,0,2958.31,260.63,2697.68,2697.68,2001.92,695.76,0.257911295592608,2025-11-01,11,2025
L000020,ORD001633,2025-11-25,C02388,Казань,Маркетплейс,Регулярный,Карта,P047,Аксессуары Baseus Model 47,Аксессуары,Baseus,Black Friday,0.2043,1,529.59,388.28,0,529.59,108.2,421.39,421.39,388.28,33.11,0.07858370798025327,2025-11-01,11,2025
L000021,ORD000696,2025-08-20,C02015,Екатеринбург,Сайт,Регулярный,Рассрочка,P040,Аудио Xiaomi Model 40,Аудио,Xiaomi,Back-to-school,0.1396,1,22173.62,14304.01,0,22173.62,3095.44,19078.18,19078.18,14304.01,4774.17,0.2502425276078633,2025-08-01,8,2025
L000022,ORD002687,2025-05-09,C01548,Екатеринбург,Сайт,Регулярный,Карта,P011,Ноутбуки Apple Model 11,Ноутбуки,Apple,Без акции,0.0228,1,111028.61,86285.71,0,111028.61,2531.45,108497.16,108497.16,86285.71,22211.45,0.2047191665154354,2025-05-01,5,2025
L000023,ORD004664,2025-08-04,C00240,Самара,Магазин,Регулярный,СБП,P055,Игровая техника Sony Model 55,Игровая техника,Sony,Без акции,0.0336,1,11592.07,8625.37,0,11592.07,389.49,11202.58,11202.58,8625.37,2577.21,0.23005479676598045,2025-08-01,8,2025
L000024,ORD004267,2025-07-14,C01037,Новосибирск,Магазин,Новый,Наличные,P027,Бытовая техника Bosch Model 27,Бытовая техника,Bosch,Weekend,0.1147,1,7968.99,6165.46,0,7968.99,914.04,7054.95,7054.95,6165.46,889.49,0.12607987930883416,2025-07-01,7,2025
L000025,ORD001333,2025-05-09,C00037,Самара,Магазин,Новый,Наличные,P036,Бытовая техника Haier Model 36,Бытовая техника,Haier,Без акции,0.0387,1,92876.39,77206.34,0,92876.39,3594.32,89282.07,89282.07,77206.34,12075.73,0.13525373241922392,2025-05-01,5,2025
L000026,ORD004603,2025-01-04,C01387,Самара,Маркетплейс,Регулярный,СБП,P024,Телевизоры Samsung Model 24,Телевизоры,Samsung,Без акции,0.0345,1,22641.47,16118.7,0,22641.47,781.13,21860.34,21860.34,16118.7,5741.64,0.2626509685025687,2025-01-01,1,2025
L000027,ORD005124,2025-12-12,C00807,Москва,Сайт,VIP,Карта,P029,Бытовая техника LG Model 29,Бытовая техника,LG,Новый год,0.1827,1,85986.41,67775.39,0,85986.41,15709.72,70276.69,70276.69,67775.39,2501.3,0.03559221115894521,2025-12-01,12,2025
L000028,ORD000581,2025-02-26,C01699,Казань,Маркетплейс,Новый,Карта,P040,Аудио Xiaomi Model 40,Аудио,Xiaomi,Без акции,0.0251,1,23841.68,15411.91,0,23841.68,598.43,23243.25,23243.25,15411.91,7831.34,0.336929755558503,2025-02-01,2,2025
L000029,ORD005466,2025-08-09,C00071,Казань,Маркетплейс,Регулярный,Карта,P024,Телевизоры Samsung Model 24,Телевизоры,Samsung,Back-to-school,0.1409,1,22447.78,15409.04,0,22447.78,3162.89,19284.89,19284.89,15409.04,3875.85,0.20097849873940962,2025-08-01,8,2025
L000030,ORD004394,2025-08-03,C01413,Новосибирск,Маркетплейс,Новый,СБП,P059,Игровая техника HyperX Model 59,Игровая техника,HyperX,Back-to-school,0.1258,1,33300.7,22245.94,0,33300.7,4189.23,29111.47,29111.47,22245.94,6865.53,0.23583596027539094,2025-08-01,8,2025
L000031,ORD003759,2025-02-11,C00275,Санкт-Петербург,Магазин,Новый,Рассрочка,P023,Телевизоры Hisense Model 23,Телевизоры,Hisense,Без акции,0.0537,1,159881.01,107810.87,0,159881.01,8585.61,151295.4,151295.4,107810.87,43484.53,0.28741475174471476,2025-02-01,2,2025
L000032,ORD004727,2025-08-28,C01957,Москва,Сайт,Регулярный,СБП,P018,Ноутбуки ASUS Model 18,Ноутбуки,ASUS,Без акции,0.0202,3,45042.04,36299.53,0,135126.12,2729.55,132396.57,132396.57,108898.59,23497.98,0.17748180299763988,2025-08-01,8,2025
L000033,ORD001416,2025-06-29,C01651,Москва,Магазин,Регулярный,СБП,P044,Аудио Marshall Model 44,Аудио,Marshall,Без акции,0.0413,1,40497.25,34110.91,0,40497.25,1672.54,38824.71,38824.71,34110.91,4713.8,0.12141244946711749,2025-06-01,6,2025
L000034,ORD003640,2025-10-25,C01909,Екатеринбург,Маркетплейс,Регулярный,Карта,P030,Бытовая техника Philips Model 30,Бытовая техника,Philips,Weekend,0.083,1,11908.92,7500.28,0,11908.92,988.44,10920.48,10920.48,7500.28,3420.2,0.3131913389108246,2025-10-01,10,2025
L000035,ORD000042,2025-05-17,C02293,Самара,Сайт,Регулярный,СБП,P012,Ноутбуки Lenovo Model 12,Ноутбуки,Lenovo,Без акции,0.0322,1,174403.3,134204.25,0,174403.3,5615.79,168787.51,168787.51,134204.25,34583.26,0.2048923108925699,2025-05-01,5,2025
L000036,ORD000655,2025-07-30,C01286,Екатеринбург,Магазин,Регулярный,Наличные,P035,Бытовая техника Philips Model 35,Бытовая техника,Philips,Без акции,0.0101,1,7769.46,5003.2,0,7769.46,78.47,7690.99,7690.99,5003.2,2687.79,0.3494724338848943,2025-07-01,7,2025
L000037,ORD003561,2025-11-28,C01650,Екатеринбург,Магазин,Регулярный,Наличные,P023,Телевизоры Hisense Model 23,Телевизоры,Hisense,Black Friday,0.1999,2,145970.32,102142.55,0,291940.64,58358.93,233581.71,233581.71,204285.1,29296.61,0.1254233756472903,2025-11-01,11,2025
L000038,ORD001046,2025-12-30,C00459,Санкт-Петербург,Магазин,Новый,Карта,P058,Игровая техника ASUS Model 58,Игровая техника,ASUS,Новый год,0.1287,1,12475.94,10080.9,0,12475.94,1605.65,10870.29,10870.29,10080.9,789.39,0.07261874104260163,2025-12-01,12,2025
L000039,ORD000122,2025-03-23,C01522,Казань,Маркетплейс,Регулярный,Карта,P008,Смартфоны Xiaomi Model 08,Смартфоны,Xiaomi,Без акции,0.0815,1,93619.95,56817.62,0,93619.95,7630.03,85989.92,85989.92,56817.62,29172.3,0.33925258556521176,2025-03-01,3,2025
L000040,ORD004431,2025-08-12,C00489,Казань,Сайт,Регулярный,Карта,P058,Игровая техника ASUS Model 58,Игровая техника,ASUS,Без акции,0.0558,1,13511.25,9798.15,0,13511.25,753.93,12757.32,12757.32,9798.15,2959.17,0.23195872864307396,2025-08-01,8,2025
L000041,ORD003929,2025-06-21,C01077,Санкт-Петербург,Магазин,Регулярный,Наличные,P058,Игровая техника ASUS Model 58,Игровая техника,ASUS,Без акции,0.0463,1,13277.69,9652.46,0,13277.69,614.76,12662.93,12662.93,9652.46,3010.47,0.23773899492113978,2025-06-01,6,2025
L000042,ORD002641,2025-07-23,C01756,Казань,Магазин,VIP,Карта,P017,Ноутбуки Lenovo Model 17,Ноутбуки,Lenovo,Без акции,0.0,1,69718.37,49645.47,0,69718.37,0.0,69718.37,69718.37,49645.47,20072.9,0.2879140748700808,2025-07-01,7,2025
L000043,ORD000333,2025-11-04,C00814,Москва,Маркетплейс,Регулярный,Карта,P053,Аксессуары Samsung Model 53,Аксессуары,Samsung,Без акции,0.0768,1,1779.6,1382.35,0,1779.6,136.67,1642.93,1642.93,1382.35,260.58,0.15860519938466885,2025-11-01,11,2025
L000044,ORD003847,2025-01-27,C01622,Москва,Магазин,Регулярный,Карта,P059,Игровая техника HyperX Model 59,Игровая техника,HyperX,Weekend,0.0985,1,33408.27,21534.24,0,33408.27,3290.71,30117.56,30117.56,21534.24,8583.32,0.28499376159776324,2025-01-01,1,2025
L000045,ORD002336,2025-10-04,C01774,Екатеринбург,Магазин,Регулярный,СБП,P047,Аксессуары Baseus Model 47,Аксессуары,Baseus,Без акции,0.0395,1,526.88,404.94,0,526.88,20.81,506.07,506.07,404.94,101.13,0.19983123224646543,2025-10-01,10,2025
L000046,ORD000965,2025-07-14,C02012,Москва,Сайт,Регулярный,Рассрочка,P005,Смартфоны realme Model 05,Смартфоны,realme,Weekend,0.0552,1,47831.31,31622.57,0,47831.31,2640.29,45191.02,45191.02,31622.57,13568.45,0.30024662380233286,2025-07-01,7,2025
L000047,ORD000822,2025-10-08,C01585,Новосибирск,Сайт,Регулярный,СБП,P033,Бытовая техника Samsung Model 33,Бытовая техника,Samsung,Без акции,0.0445,2,22812.03,17152.33,0,45624.06,2030.27,43593.79,43593.79,34304.66,9289.13,0.2130837780510969,2025-10-01,10,2025
L000048,ORD002742,2025-06-07,C01879,Самара,Магазин,Регулярный,СБП,P023,Телевизоры Hisense Model 23,Телевизоры,Hisense,Weekend,0.0873,1,139803.1,99555.22,0,139803.1,12204.81,127598.29,127598.29,99555.22,28043.07,0.21977621728676,2025-06-01,6,2025
L000049,ORD001735,2025-03-01,C00260,Новосибирск,Сайт,Регулярный,СБП,P055,Игровая техника Sony Model 55,Игровая техника,Sony,Без акции,0.0828,1,11625.32,9185.28,0,11625.32,962.58,10662.74,10662.74,9185.28,1477.46,0.1385631665476851,2025-03-01,3,2025
L000050,ORD004576,2025-10-03,C00170,Самара,Магазин,Регулярный,Карта,P039,Аудио Marshall Model 39,Аудио,Marshall,Без акции,0.0257,1,34197.89,24675.64,0,34197.89,878.89,33319.0,33319.0,24675.64,8643.36,0.25941244126365165,2025-10-01,10,2025
L000051,ORD000449,2025-12-07,C01312,Москва,Сайт,VIP,Карта,P024,Телевизоры Samsung Model 24,Телевизоры,Samsung,Без акции,0.0282,1,20969.81,16107.82,0,20969.81,591.35,20378.46,20378.46,16107.82,4270.64,0.20956642815054677,2025-12-01,12,2025
L000052,ORD004475,2025-07-13,C00754,Самара,Магазин,Новый,Наличные,P041,Аудио Philips Model 41,Аудио,Philips,Weekend,0.0575,1,3116.43,2111.22,0,3116.43,179.19,2937.24,2937.24,2111.22,826.02,0.2812220328519649,2025-07-01,7,2025
L000053,ORD003056,2025-09-05,C02114,Новосибирск,Магазин,Новый,Карта,P029,Бытовая техника LG Model 29,Бытовая техника,LG,Back-to-school,0.1486,1,93398.74,67372.15,0,93398.74,13879.05,79519.69,79519.69,67372.15,12147.54,0.15276138096404124,2025-09-01,9,2025
L000054,ORD001261,2025-05-25,C02388,Москва,Сайт,Регулярный,СБП,P047,Аксессуары Baseus Model 47,Аксессуары,Baseus,Без акции,0.0,1,515.92,394.9,0,515.92,0.0,515.92,515.92,394.9,121.02,0.2345712513567995,2025-05-01,5,2025
L000055,ORD002319,2025-02-28,C01610,Казань,Сайт,Регулярный,Карта,P041,Аудио Philips Model 41,Аудио,Philips,Без акции,0.0492,1,3016.86,2161.09,0,3016.86,148.43,2868.43,2868.43,2161.09,707.34,0.24659495531062695,2025-02-01,2,2025
L000056,ORD002811,2025-06-14,C02069,Самара,Маркетплейс,Регулярный,СБП,P032,Бытовая техника Bosch Model 32,Бытовая техника,Bosch,Без акции,0.0326,1,62152.99,39396.92,0,62152.99,2026.19,60126.8,60126.8,39396.92,20729.88,0.3447694148884102,2025-06-01,6,2025
L000057,ORD004505,2025-05-21,C01104,Казань,Магазин,Новый,Рассрочка,P040,Аудио Xiaomi Model 40,Аудио,Xiaomi,Без акции,0.0401,1,23053.56,14635.65,1,23053.56,924.45,22129.11,0.0,0.0,0.0,,2025-05-01,5,2025
L000058,ORD001837,2025-09-12,C00619,Санкт-Петербург,Магазин,Новый,Карта,P021,Телевизоры Sony Model 21,Телевизоры,Sony,Back-to-school,0.1176,1,24241.62,16509.63,0,24241.62,2850.81,21390.81,21390.81,16509.63,4881.18,0.22819035453051462,2025-09-01,9,2025
L000059,ORD001997,2025-11-16,C00981,Москва,Сайт,Регулярный,Карта,P050,Аксессуары Logitech Model 50,Аксессуары,Logitech,Без акции,0.0723,1,16079.74,12130.04,0,16079.74,1162.57,14917.17,14917.17,12130.04,2787.13,0.1868406608987166,2025-11-01,11,2025
L000060,ORD004770,2025-12-06,C00861,Санкт-Петербург,Магазин,Регулярный,Карта,P009,Смартфоны Honor Model 09,Смартфоны,Honor,Без акции,0.0245,1,120996.96,80805.27,0,120996.96,2964.43,118032.53,118032.53,80805.27,37227.26,0.3153983318583061,2025-12-01,12,2025
L000061,ORD002631,2025-12-29,C00256,Казань,Сайт,Регулярный,Рассрочка,P033,Бытовая техника Samsung Model 33,Бытовая техника,Samsung,Новый год,0.1494,1,22414.42,16653.28,0,22414.42,3348.71,19065.71,19065.71,16653.28,2412.43,0.1265321984946796,2025-12-01,12,2025
L000062,ORD000584,2025-01-06,C02231,Казань,Маркетплейс,Регулярный,Карта,P022,Телевизоры TCL Model 22,Телевизоры,TCL,Без акции,0.0,1,42998.16,31152.99,0,42998.16,0.0,42998.16,42998.16,31152.99,11845.17,0.2754808577855425,2025-01-01,1,2025
L000063,ORD004516,2025-08-15,C01150,Новосибирск,Сайт,VIP,Рассрочка,P044,Аудио Marshall Model 44,Аудио,Marshall,Без акции,0.0572,1,40994.37,33986.44,0,40994.37,2344.88,38649.49,38649.49,33986.44,4663.05,0.12064976252874447,2025-08-01,8,2025
L000064,ORD002428,2025-09-14,C01533,Казань,Магазин,VIP,Наличные,P041,Аудио Philips Model 41,Аудио,Philips,Back-to-school,0.0693,1,3170.07,2065.78,0,3170.07,219.69,2950.38,2950.38,2065.78,884.6,0.29982676977837835,2025-09-01,9,2025
L000065,ORD004125,2025-05-10,C01076,Москва,Магазин,Новый,Карта,P006,Смартфоны Apple Model 06,Смартфоны,Apple,Без акции,0.0125,1,38164.82,30626.52,0,38164.82,477.06,37687.76,37687.76,30626.52,7061.24,0.1873616207713168,2025-05-01,5,2025
L000066,ORD004710,2025-10-20,C00027,Москва,Магазин,Регулярный,Карта,P029,Бытовая техника LG Model 29,Бытовая техника,LG,Без акции,0.0186,1,89821.12,69368.77,0,89821.12,1670.67,88150.45,88150.45,69368.77,18781.68,0.2130638898768745,2025-10-01,10,2025
L000067,ORD001488,2025-11-03,C00803,Санкт-Петербург,Магазин,VIP,Карта,P041,Аудио Philips Model 41,Аудио,Philips,Без акции,0.042,1,3073.97,2093.68,0,3073.97,129.11,2944.86,2944.86,2093.68,851.18,0.2890399943391599,2025-11-01,11,2025
L000068,ORD005114,2025-12-27,C01377,Москва,Маркетплейс,Новый,Карта,P056,Игровая техника Microsoft Model 56,Игровая техника,Microsoft,Новый год,0.1462,1,6702.26,4000.21,0,6702.26,979.87,5722.39,5722.39,4000.21,1722.18,0.300954620708009,2025-12-01,12,2025
L000069,ORD005569,2025-08-09,C02129,Санкт-Петербург,Магазин,Новый,Карта,P009,Смартфоны Honor Model 09,Смартфоны,Honor,Без акции,0.0263,1,117409.61,83254.51,0,117409.61,3087.87,114321.74,114321.74,83254.51,31067.23,0.27175258181354955,2025-08-01,8,2025
L000070,ORD002300,2025-12-06,C00345,Казань,Сайт,Новый,Карта,P002,Смартфоны Samsung Model 02,Смартфоны,Samsung,Без акции,0.0625,1,98777.6,69552.55,0,98777.6,6173.6,92604.0,92604.0,69552.55,23051.45,0.24892499244093125,2025-12-01,12,2025
L000071,ORD001625,2025-05-21,C02155,Казань,Магазин,Новый,Наличные,P009,Смартфоны Honor Model 09,Смартфоны,Honor,Без акции,0.0,1,124069.35,78356.19,0,124069.35,0.0,124069.35,124069.35,78356.19,45713.16,0.36844845241794205,2025-05-01,5,2025
L000072,ORD005351,2025-10-21,C01074,Самара,Сайт,Регулярный,СБП,P055,Игровая техника Sony Model 55,Игровая техника,Sony,Без акции,0.0154,1,11847.87,8533.61,1,11847.87,182.46,11665.41,0.0,0.0,0.0,,2025-10-01,10,2025
L000073,ORD005646,2025-06-26,C02190,Санкт-Петербург,Маркетплейс,Регулярный,Карта,P059,Игровая техника HyperX Model 59,Игровая техника,HyperX,Weekend,0.0806,1,31814.45,22197.4,0,31814.45,2564.24,29250.21,29250.21,22197.4,7052.81,0.24111985712340978,2025-06-01,6,2025
L000074,ORD003913,2025-05-19,C01438,Новосибирск,Магазин,Новый,Наличные,P038,Аудио Sony Model 38,Аудио,Sony,Без акции,0.074,1,16389.6,13131.3,0,16389.6,1212.83,15176.77,15176.77,13131.3,2045.47,0.13477634924364934,2025-05-01,5,2025
L000075,ORD002124,2025-12-24,C01718,Москва,Магазин,Регулярный,Наличные,P057,Игровая техника Logitech Model 57,Игровая техника,Logitech,Новый год,0.1435,1,74410.14,54874.59,0,74410.14,10677.86,63732.28,63732.28,54874.59,8857.69,0.13898285496131924,2025-12-01,12,2025
L000076,ORD005613,2025-10-05,C00502,Казань,Сайт,Новый,СБП,P036,Бытовая техника Haier Model 36,Бытовая техника,Haier,Без акции,0.0349,1,95345.3,77685.42,0,95345.3,3327.55,92017.75,92017.75,77685.42,14332.33,0.15575613597467292,2025-10-01,10,2025
L000077,ORD001339,2025-03-29,C01778,Самара,Сайт,Новый,Карта,P002,Смартфоны Samsung Model 02,Смартфоны,Samsung,Без акции,0.0,2,96883.54,69800.44,0,193767.08,0.0,193767.08,193767.08,139600.88,54166.2,0.279542840816923,2025-03-01,3,2025
L000078,ORD004278,2025-12-16,C01352,Москва,Магазин,Регулярный,Рассрочка,P029,Бытовая техника LG Model 29,Бытовая техника,LG,Новый год,0.1342,2,98386.7,69870.45,0,196773.4,26406.99,170366.41,170366.41,139740.9,30625.51,0.1797626056118312,2025-12-01,12,2025
L000079,ORD001133,2025-02-11,C00913,Самара,Сайт,Регулярный,СБП,P053,Аксессуары Samsung Model 53,Аксессуары,Samsung,Без акции,0.03,1,1775.56,1443.73,0,1775.56,53.27,1722.29,1722.29,1443.73,278.56,0.16173970843059698,2025-02-01,2,2025
L000080,ORD001285,2025-03-24,C00037,Самара,Маркетплейс,Новый,Карта,P054,Аксессуары Apple Model 54,Аксессуары,Apple,Без акции,0.0446,2,2946.52,1997.96,0,5893.04,262.83,5630.21,5630.21,3995.92,1634.29,0.29027164088852764,2025-03-01,3,2025
L000081,ORD003764,2025-04-16,C00919,Санкт-Петербург,Маркетплейс,Новый,Карта,P018,Ноутбуки ASUS Model 18,Ноутбуки,ASUS,Weekend,0.1012,1,43094.77,35106.22,0,43094.77,4361.19,38733.58,38733.58,35106.22,3627.36,0.09364895637846644,2025-04-01,4,2025
L000082,ORD002226,2025-01-14,C01351,Екатеринбург,Сайт,Регулярный,Карта,P045,Аксессуары Logitech Model 45,Аксессуары,Logitech,Без акции,0.0281,1,3326.05,2495.94,0,3326.05,93.46,3232.59,3232.59,2495.94,736.65,0.22788180743707803,2025-01-01,1,2025
L000083,ORD000272,2025-10-14,C00954,Казань,Магазин,Новый,Карта,P028,Бытовая техника Samsung Model 28,Бытовая техника,Samsung,Без акции,0.0597,1,8165.96,4721.33,0,8165.96,487.51,7678.45,7678.45,4721.33,2957.12,0.38511956779797824,2025-10-01,10,2025
L000084,ORD003802,2025-09-27,C02356,Екатеринбург,Магазин,Регулярный,Наличные,P013,Ноутбуки ASUS Model 13,Ноутбуки,ASUS,Без акции,0.0152,1,81145.05,51431.59,0,81145.05,1233.4,79911.65,79911.65,51431.59,28480.06,0.3563943046656763,2025-09-01,9,2025
L000085,ORD001934,2025-01-10,C00890,Москва,Магазин,Новый,Карта,P046,Аксессуары Xiaomi Model 46,Аксессуары,Xiaomi,Без акции,0.038,1,519.36,414.91,0,519.36,19.74,499.62,499.62,414.91,84.71,0.16955603762442947,2025-01-01,1,2025
L000086,ORD004874,2025-11-18,C01551,Москва,Сайт,Новый,Рассрочка,P013,Ноутбуки ASUS Model 13,Ноутбуки,ASUS,Без акции,0.0537,1,85898.93,49890.06,0,85898.93,4612.77,81286.16,81286.16,49890.06,31396.1,0.3862416239177735,2025-11-01,11,2025
L000087,ORD003391,2025-09-05,C00529,Москва,Сайт,Регулярный,СБП,P007,Смартфоны Samsung Model 07,Смартфоны,Samsung,Без акции,0.0,1,18407.74,11711.73,0,18407.74,0.0,18407.74,18407.74,11711.73,6696.01,0.3637605702818489,2025-09-01,9,2025
L000088,ORD003438,2025-03-19,C02130,Санкт-Петербург,Маркетплейс,Регулярный,Карта,P022,Телевизоры TCL Model 22,Телевизоры,TCL,Без акции,0.0463,1,44598.2,32260.18,0,44598.2,2064.9,42533.3,42533.3,32260.18,10273.12,0.24153128333060242,2025-03-01,3,2025
L000089,ORD003694,2025-05-28,C01606,Санкт-Петербург,Сайт,Регулярный,СБП,P013,Ноутбуки ASUS Model 13,Ноутбуки,ASUS,Без акции,0.0291,2,84729.94,50424.98,0,169459.88,4931.28,164528.6,164528.6,100849.96,63678.64,0.3870368948783891,2025-05-01,5,2025
L000090,ORD002594,2025-08-22,C01903,Новосибирск,Магазин,Регулярный,СБП,P044,Аудио Marshall Model 44,Аудио,Marshall,Back-to-school,0.1031,1,43697.12,35555.13,0,43697.12,4505.17,39191.95,39191.95,35555.13,3636.82,0.09279500543010143,2025-08-01,8,2025
L000091,ORD002491,2025-08-23,C00704,Москва,Магазин,Регулярный,СБП,P053,Аксессуары Samsung Model 53,Аксессуары,Samsung,Back-to-school,0.1092,1,1817.66,1403.63,0,1817.66,198.49,1619.17,1619.17,1403.63,215.54,0.13311840300591055,2025-08-01,8,2025
L000092,ORD002883,2025-03-13,C02001,Москва,Сайт,Новый,СБП,P059,Игровая техника HyperX Model 59,Игровая техника,HyperX,Без акции,0.01,1,34069.47,22133.79,0,34069.47,340.69,33728.78,33728.78,22133.79,11594.99,0.343771310902,2025-03-01,3,2025
L000093,ORD004976,2025-06-05,C00586,Казань,Магазин,Регулярный,Карта,P033,Бытовая техника Samsung Model 33,Бытовая техника,Samsung,Без акции,0.0445,2,22150.31,17831.57,0,44300.62,1971.38,42329.24,42329.24,35663.14,6666.1,0.15748220451082734,2025-06-01,6,2025
L000094,ORD000961,2025-05-13,C00073,Самара,Магазин,Регулярный,Наличные,P021,Телевизоры Sony Model 21,Телевизоры,Sony,Weekend,0.0651,1,22919.54,17234.24,0,22919.54,1492.06,21427.48,21427.48,17234.24,4193.24,0.19569442360727177,2025-05-01,5,2025
